"ticker","company","price","date"
DCON,Deacons (East Africa) Plc,0.45,2020-10-19 00:00:00
DTK,Diamond Trust Bank Kenya Limited,62.50,2020-10-19 00:00:00
EABL,East African Breweries Limited,162.00,2020-10-19 00:00:00
EGAD,Eaagads Limited,13.25,2020-10-19 00:00:00
EQTY,Equity Group Holdings Limited,34.55,2020-10-19 00:00:00
EVRD,Eveready East Africa Limited,0.97,2020-10-19 00:00:00
FAHR,STANLIB Fahari Income REIT,5.38,2020-10-19 00:00:00
FIRE,Sameer Africa Limited,3.41,2020-10-19 00:00:00
FTGH,Flame Tree Group Holdings Limited,1.32,2020-10-19 00:00:00
GLD,NewGold Exchange Traded Fund,"1,970.00",2020-10-19 00:00:00
HAFR,Home Afrika Limited,0.39,2020-10-19 00:00:00
HFCK,Housing Finance Company Limited,3.86,2020-10-19 00:00:00
I&M,I&M Holdings Plc,43.65,2020-10-19 00:00:00
ICDC,Centum Investment Company Limited,18.50,2020-10-19 00:00:00
JUB,Jubilee Holdings Limited,270.00,2020-10-19 00:00:00
KAPC,Kapchorua Tea Company Limited,75.00,2020-10-19 00:00:00
KCB,KCB Bank Kenya Limited,37.00,2020-10-19 00:00:00
KEGN,Kenya Electricity Generating Co. Ltd.,5.24,2020-10-19 00:00:00
KNRE,Kenya Re-Insurance Corporation Ltd,2.26,2020-10-19 00:00:00
KPLC,Kenya Power & Lighting Co. Limited,1.73,2020-10-19 00:00:00
KPLC-P4,Kenya Power Pref. Shares at 4%,5.00,2020-10-19 00:00:00
KPLC-P7,Kenya Power Pref. Shares at 7%,6.00,2020-10-19 00:00:00
KQ,Kenya Airways Limited,3.83,2020-10-19 00:00:00
KUKZ,Kakuzi Limited,380.00,2020-10-19 00:00:00
KURV,Kurwitu Ventures Limited,"1,500.00",2020-10-19 00:00:00
LIMT,Limuru Tea Company Limited,400.00,2020-10-19 00:00:00
LKL,Longhorn Publishers Limited,4.70,2020-10-19 00:00:00
MSC,Mumias Sugar Company Limited,0.28,2020-10-19 00:00:00
NBK,National Bank of Kenya Limited,4.12,2020-10-19 00:00:00
NBV,Nairobi Business Ventures Ltd,0.71,2020-10-19 00:00:00
NIC,NIC Bank Limited,22.85,2020-10-19 00:00:00
NMG,Nation Media Group,15.60,2020-10-19 00:00:00
NSE,Nairobi Securities Exchange Limited,8.10,2020-10-19 00:00:00
OCH,Olympia Capital Holdings Limited,2.04,2020-10-19 00:00:00
ORCH,Kenya Orchards Limited,11.05,2020-10-19 00:00:00
PAFR,Sanlam Kenya Plc,12.50,2020-10-19 00:00:00
